meanAmplitude,minAmplitude,maxAmplitude,stdAmplitude,energy,power,meanPitch,minPitch,maxPitch,stdPitch,meanHarmonicity,minHarmonicity,maxHarmonicity,stdHarmonicity,minIntensity,maxIntensity,quantileIntensity,meanIntensity,stdIntensity,speakingRate,articulationRate,minFormant1,maxFormant1,quantileFormant1,meanFormant1,stdFormant1,minFormant2,maxFormant2,quantileFormant2,meanFormant2,stdFormant2,minFormant3,maxFormant3,quantileFormant3,meanFormant3,stdFormant3,Result
-8.566236587140933e-06,-0.07581047327408758,0.08270000158598946,0.013273699953464974,0.001593462054656508,0.00017619077796759435,213.48944886035005,74.46271267316541,602.198155584136,84.98301682476101,7.660404360849531,-226.562610123681,33.928748788882345,6.135181527740977,23.143128959097027,66.78793368417195,48.986224506075885,47.449986104284974,11.112176512815303,3.759415816267766,5.022172027855821,--undefined--,2040.9841792863306,494.72351755585083,590.0553286880366,275.5943009142628,296.3994530977828,3417.720526775333,1651.2818202403732,1599.3704763088492,609.1027112653771,1456.7184069173925,4673.669070551041,2762.934977177271,2781.201156808202,473.30196074739564,0
-4.0182332235505284e-05,-0.17240842482920637,0.15459863730263346,0.038612777502151654,0.002866161548028079,0.001490932043406641,229.7674900271216,157.41587377812948,456.51493286009156,79.26534102756669,9.121101890704306,-225.90282785776125,32.113718048018406,6.093957857634908,40.33324205189696,73.8241012027519,61.707881678844394,60.15019930604212,8.78040491843627,3.6412896234082903,3.6412896234082903,--undefined--,2607.5175366341364,556.3331577205968,653.2939138304803,386.76120942417447,574.871045267707,3492.773585951701,1818.078714192001,1933.3645586186915,472.9567918920606,2117.688694192312,4842.092731276998,3074.0000943361392,3052.2836254601643,366.21316705935527,0
-4.650258192735952e-05,-0.18208754880604733,0.2070619024303348,0.039320051757103805,0.007835636879239853,0.0015460622773194924,196.11188514640298,75.55661631888205,491.97267939187697,74.59977215403093,8.872219880641014,-226.1817067748754,48.64330620506579,6.575599073430267,41.668559261803516,74.92803593393316,61.49464292093307,60.6955752084397,7.807538699612214,3.156986064866198,3.156986064866198,--undefined--,2412.664147748283,566.4160074981405,649.7973211951648,345.2650233911132,438.50766358957947,3211.26539699165,1927.6767587051972,1947.2856969067818,472.02629983600957,2038.6064102196442,4984.823596285051,3049.390224622322,3036.6646809437993,401.47204053811225,0
-1.280976663764792e-05,-0.1832944844198031,0.2171937484987323,0.0314422768934014,0.0030667103450978173,0.0009886103007743236,237.03382620599393,79.05322883861399,624.4681583130742,131.9814237072123,5.226307591396323,-225.56327193314772,29.275015267870117,5.716975753105946,31.994547201308926,72.74541476510495,60.74349378344276,59.05229200959741,8.45476226134101,3.2236833268411935,3.2236833268411935,124.00142880401964,1237.4005210447974,648.8121614403001,667.0011430967686,243.71120902162428,420.6126259051738,3060.8512761235315,1865.1916658193104,1783.804258785261,393.6458001055743,991.2512618269857,4278.476017428039,3033.459267661569,2889.0241756178657,493.61807378714326,0
-3.961132918567488e-05,-0.24296585681481042,0.20253258729645982,0.03320776160818187,0.00520342782723795,0.0011027521312338697,326.3236259028399,77.24463940912453,633.3595653583887,116.75627083905142,7.516773978063512,-226.77017683603245,37.38039850780603,5.352154474684027,37.42409618221038,73.75820854334984,61.18695542843396,59.6186242505123,8.013515767347334,5.086272362820762,5.086272362820762,219.48417511962123,1981.8852488529044,466.4531666868056,519.937869396072,202.80090899345007,453.2780768470614,3043.953398995369,1943.0827232478234,1846.175712658859,481.60419186446353,1603.8868236783017,4624.018448954791,2836.9102836596376,2814.1645828367623,400.77008140568574,0
-4.9364366928407014e-05,-0.22507631322036983,0.27629164416987917,0.04147855074370785,0.007178564430059244,0.0017204640182288805,301.55573171981234,85.94818467897952,478.5092892929926,93.2269360272759,7.313608979996495,-226.43884516785414,36.88511763473659,4.475045875778574,40.81031691447065,74.09041963231721,64.11001888302002,62.72513226981213,6.6498780733169,5.0330041242672685,5.0330041242672685,--undefined--,2254.4165839599827,443.73415906997144,498.7152395422056,215.19091386501373,161.1781734572372,3363.183135448912,1952.3995217860784,1879.9036421563198,474.84187908699926,1687.5721292827452,4547.212575878389,2999.3696026136668,2940.9186140353713,408.63255948035516,0
-4.749016067510615e-05,-0.2963139653011687,0.2381139061468961,0.058704041729449735,0.006307203141817202,0.003446127543308849,199.9825642848243,82.62111361703548,275.1119602773199,49.349808540770816,7.678714852661505,-225.18877759820845,24.28840763109138,4.184646876201306,41.97764142742771,75.20896707898459,68.21819020993296,64.96801447125611,8.539543502831993,5.463796655701131,5.463796655701131,--undefined--,1683.965921535185,607.6674885099039,612.7298147408297,239.12353306081133,740.2674908762059,3174.708452298182,1951.177892970078,1947.2237289941395,348.6546886112354,1851.7543193479623,4459.102614817875,3092.8888474397713,3014.363884664755,404.3616539068435,0
-4.1678193642919906e-05,-0.18027690898060408,0.1693420843570309,0.043270504323730974,0.0023415930633394356,0.0018723070920073448,300.8884629576885,75.73829843962906,502.08704359586454,86.64502104887552,10.062485303346318,-225.48879581401007,39.92103815647426,4.315554714601932,35.55494373897486,72.62510819329354,63.64676105056998,61.46894394398379,9.330022060745142,3.997934400559711,3.997934400559711,224.13444631438145,1412.7163827567174,482.47314725116695,525.8851715028392,221.6584459653036,600.803940461722,3477.6474488517974,1792.149017130219,1825.5107589332054,447.86174101470885,1480.5270373024316,4317.744697112303,2968.363163689112,2900.363225419248,446.8976630904373,0
-3.5187406270127295e-05,-0.2310884550681171,0.23925096980461047,0.04377694367288666,0.008027532577572856,0.0019164125040956963,273.4121774634262,99.10555821646727,584.4138861991873,82.13268541837986,7.810122816236646,-226.1086272681633,30.19873452203078,4.920198674798662,37.822370050114394,73.05918905891791,66.23154522391538,63.52071616741546,7.2875947239251,5.72951895913739,5.72951895913739,--undefined--,2571.708261800235,572.2571113478366,632.9624350382635,356.53079484481935,879.3106001764285,3904.0829131715723,2089.131138150426,2096.9879184548304,486.1405422751006,1496.1719153133504,4743.648868424511,3019.6747332952496,3017.540783595047,445.28315335095743,0
-4.5764978753881156e-05,-0.2499457304582784,0.34675664268754836,0.05032831045528317,0.0108175574670895,0.00253292857173664,296.61791219913175,140.19704401021187,604.167573847914,96.09910726678612,6.796713371241722,-227.21097243403767,42.40947354992255,5.056743035705,37.6822267603996,76.14835452362664,64.92086336888354,63.25933213678963,8.492292021920033,4.682995360907721,4.682995360907721,9.054565930990265,2987.100056090394,596.0162472799489,731.5593271542973,441.56022364009505,737.5767882699665,3938.5931031006357,2030.3282923451104,2039.247527763099,590.2304325854643,1253.0790541043116,4788.571589119419,3108.054888704757,3145.7846697298946,460.13965166848396,0
-2.4620283679538012e-05,-0.2219275665200605,0.28839610989369485,0.03812470080151918,0.005445452525940103,0.0014534853348150483,286.3396821639012,80.93122000428944,579.5754293714468,104.54324387785466,8.799184846239989,-226.55309663546274,38.312992048446965,5.017231813194388,38.430750386188876,74.70676978772207,61.14732531400152,60.0034939879469,8.560583714141178,3.7368418125907104,3.7368418125907104,48.67633723590343,2411.386465568398,469.4548406500869,575.1980672913032,319.46738214984794,501.5113540569118,3559.624186106561,1952.4104235373009,1924.0438108348053,467.9733975200469,1530.4339784922672,4527.011614131853,2922.484395553667,2873.74552825081,508.404910371496,0
