meanAmplitude,minAmplitude,maxAmplitude,stdAmplitude,rangeAmplitude,meanPitch,minPitch,maxPitch,stdPitch,rangePitch,meanHarmonicity,minHarmonicity,maxHarmonicity,stdHarmonicity,rangeHarmonicity,minIntensity,maxIntensity,quantileIntensity,meanIntensity,stdIntensity,rangeIntensity,speakingRate,articulationRate,meanEnergy,stdEnergy,minEnergy,maxEnergy,rangeEnergy,meanMFCC1,stdMFCC1,minMFCC1,maxMFCC1,rangeMFCC1,meanMFCC2,stdMFCC2,minMFCC2,maxMFCC2,rangeMFCC2,meanMFCC3,stdMFCC3,minMFCC3,maxMFCC3,rangeMFCC3,meanMFCC4,stdMFCC4,minMFCC4,maxMFCC4,rangeMFCC4,meanMFCC5,stdMFCC5,minMFCC5,maxMFCC5,rangeMFCC5,meanMFCC6,stdMFCC6,minMFCC6,maxMFCC6,rangeMFCC6,meanMFCC7,stdMFCC7,minMFCC7,maxMFCC7,rangeMFCC7,meanMFCC8,stdMFCC8,minMFCC8,maxMFCC8,rangeMFCC8,meanMFCC9,stdMFCC9,minMFCC9,maxMFCC9,rangeMFCC9,meanMFCC10,stdMFCC10,minMFCC10,maxMFCC10,rangeMFCC10,meanMFCC11,stdMFCC11,minMFCC11,maxMFCC11,rangeMFCC11,meanMFCC12,stdMFCC12,minMFCC12,maxMFCC12,rangeMFCC12,minFormant1,maxFormant1,quantileFormant1,meanFormant1,stdFormant1,rangeFormant1,minFormant2,maxFormant2,quantileFormant2,meanFormant2,stdFormant2,rangeFormant2,minFormant3,maxFormant3,quantileFormant3,meanFormant3,stdFormant3,rangeFormant3,minFormant4,maxFormant4,quantileFormant4,meanFormant4,stdFormant4,rangeFormant4,minFormant5,maxFormant5,quantileFormant5,meanFormant5,stdFormant5,rangeFormant5,Result
-8.566236587140933e-06,-0.07581047327408758,0.08270000158598946,0.013273699953464974,0.15851047486007702,213.48944886035005,74.46271267316541,602.198155584136,84.98301682476101,527.7354429109705,7.660404360849531,-226.562610123681,33.928748788882345,6.135181527740977,260.4913589125633,23.143128959097027,66.78793368417195,48.986224506075885,47.449986104284974,11.112176512815303,43.64480472507492,3.759415816267766,5.022172027855821,447.83064923295814,506.06413544483144,-361.3900847716007,1241.9449030107965,1603.334987782397,300.0215927193947,111.74496417389129,-135.47977121011797,474.22014810143315,609.6999193115512,92.39508068385656,173.7776683068282,-253.08153751645082,375.4792913839118,628.5608289003626,18.054262788715064,94.64718498883737,-191.02440719010917,324.86107974773853,515.8854869378476,2.118368529525691,49.60031880818322,-147.67615152552762,142.54764502392422,290.22379654945183,-23.49623855776688,46.90692125941206,-147.1026458869549,149.18889590862864,296.2915417955835,-18.597697619831322,60.52191769490368,-175.45521900235985,114.83341476731991,290.2886337696798,-43.410184797611414,42.755977395822526,-168.1640258109523,70.33900106147073,238.50302687242302,1.070236623536432,40.98045133187716,-107.30866689475734,116.00744576113969,223.31611265589703,-33.63650744808958,38.05102067082912,-173.10427952730646,64.27964338086433,237.3839229081708,-1.4105268615590663,43.933487696024365,-131.43667740791236,115.52044506781844,246.95712247573078,-34.44913318248579,43.86094296307171,-148.76860278490247,118.15983658848114,266.92843937338364,-34.640349427979565,35.23259499107995,-149.28472402992656,110.48778276391236,259.77250679383894,--undefined--,2040.9841792863306,494.72351755585083,590.0553286880366,275.5943009142628,--undefined--,296.3994530977828,3417.720526775333,1651.2818202403732,1599.3704763088492,609.1027112653771,3121.32107367755,1456.7184069173925,4673.669070551041,2762.934977177271,2781.201156808202,473.30196074739564,3216.950663633648,2663.5940853520724,5300.901959590475,4039.012659994666,4058.390974983313,491.63650195028333,2637.3078742384023,4076.323299008251,5440.092094749081,4796.668909854503,4801.541714381264,219.40604941010477,1363.7687957408302,0
-4.5764978753881156e-05,-0.2499457304582784,0.34675664268754836,0.05032831045528317,0.5967023731458267,296.61791219913175,140.19704401021187,604.167573847914,96.09910726678612,463.97052983770214,6.796713371241722,-227.21097243403767,42.40947354992255,5.056743035705,269.6204459839602,37.6822267603996,76.14835452362664,64.92086336888354,63.25933213678963,8.492292021920033,38.466127763227036,4.682995360907721,4.682995360907721,1162.9980846318365,341.3059764358659,-0.12471108970343092,1710.4276583633175,1710.552369453021,293.3986126012196,125.07192449365198,-92.04661025477556,519.4304295960902,611.4770398508658,-69.84387520582199,113.36069965790861,-312.4981281328718,235.6354554010291,548.133583533901,119.16507600721854,90.74636720043436,-77.49109813650344,365.4687395711322,442.95983770763564,-16.596192816919892,64.3150673502492,-199.47867664490107,144.01517752829764,343.4938541731987,18.092526365950054,45.80671014708506,-134.77507168233132,185.73234336805635,320.50741505038764,-60.493689140515265,67.1370834820626,-199.12741882478556,97.99539588341756,297.1228147082031,-13.068866556918772,42.523079670637415,-106.0983000019313,89.15144957842611,195.24974958035742,-5.654288645377454,32.529872705401644,-104.36950161536461,76.47111118012917,180.84061279549377,-23.93224192137191,35.081266906855234,-132.1825504743514,51.827389792611214,184.0099402669626,-2.2072158282735623,31.138294025936897,-89.89434452687671,96.90943645360798,186.8037809804847,-17.200962326463603,30.102914922716877,-97.56103168789136,94.84716712223673,192.40819881012808,12.602973301822626,28.625007971060583,-68.42664745951616,111.91366910638685,180.340316565903,9.054565930990265,2987.100056090394,596.0162472799489,731.5593271542973,441.56022364009505,2978.045490159404,737.5767882699665,3938.5931031006357,2030.3282923451104,2039.247527763099,590.2304325854643,3201.016314830669,1253.0790541043116,4788.571589119419,3108.054888704757,3145.7846697298946,460.13965166848396,3535.492535015107,2897.5121250578063,5375.606744861382,4156.680988384571,4118.100215895565,449.52145800985204,2478.094619803576,4160.0384179253215,5480.234228976255,4742.299441748414,4784.273623990978,248.6342315845623,1320.1958110509331,0
-5.364425708746285e-06,-0.20139640837149492,0.22908179537916087,0.03443291641876723,0.4304782037506558,262.6627157136587,162.10179309132317,440.03139333851186,60.89563063921203,277.92960024718866,8.639592033777054,-226.28492528733437,33.73200822346531,5.389588285729979,260.0169335107997,23.390512228779432,73.14372659010392,59.07352292013418,56.74837047152842,12.990117509553151,49.753214361324495,3.975374761891616,3.975374761891616,913.0329754430469,443.61048271944986,-181.4956103945515,1505.986608036814,1687.4822184313655,324.65810630803225,135.45759920584655,-86.60098992566114,552.0585466139107,638.6595365395718,-90.58058535665249,122.09142371512674,-286.7811514467482,207.3969365432609,494.1780879900091,25.586305436235513,88.07889047605968,-135.33215232618807,317.0949501447391,452.42710247092714,-6.753554314384268,59.82034526013698,-144.82921282780126,126.16730104215452,270.9965138699558,-8.637451326265804,41.54955763165852,-116.25995130797986,134.5986178704498,250.85856917842966,-31.800975233228165,63.06402760955821,-191.5751124071096,127.57490803727728,319.1500204443869,-51.45013571454252,45.57655944400553,-180.20471995628372,75.2709887600063,255.47570871629003,-7.490824653045178,34.61672862390235,-118.43875230358972,61.260423017124076,179.6991753207138,-51.192979843110855,45.40714517887092,-162.86862493159768,37.142369339817925,200.0109942714156,-14.55122590912863,37.80729068412976,-142.52067970388794,64.97636535739224,207.49704506128018,-20.285610566627287,31.51256840168035,-117.86583667345418,52.544551427775104,170.41038810122927,-11.611960843023898,25.86183022317393,-74.38123716081367,70.06023605878195,144.44147321959562,83.79996787040653,2076.703222613155,668.2505873616271,757.3030839562962,347.7690299716863,1992.9032547427485,694.084208081986,3675.408392494462,1949.6838142170789,1971.0746969016238,380.0049269764418,2981.324184412476,1864.8520865582352,4315.7168409967035,2937.7045802321745,2920.954397906008,415.2656780888052,2450.8647544384685,2798.5117475457187,5023.979810691196,3801.0058731718364,3865.1927931081086,469.85675297438644,2225.468063145477,4061.81282424431,5224.242120278687,4699.372019102746,4677.229220671531,229.02262985516052,1162.4292960343773,0
-2.5926261829128604e-06,-0.18625326948865167,0.20744214108259768,0.027079500028203782,0.39369541057124935,308.94093050720767,157.54370526915986,627.3287167844603,113.46350250660599,469.7850115153004,7.810782858599643,-226.48818492286648,36.06039427939838,4.696581723162704,262.5485792022649,28.791680416775908,73.5117903271713,53.0538259999251,51.85502476114536,12.337976592472089,44.720109910395394,5.106672719019519,5.70631498858737,693.1633985356992,420.7310847425262,-82.26886022755114,1534.7945850493122,1617.0634452768634,314.93548785587745,120.511136325894,-71.40507001240721,513.7839855391143,585.1890555515215,-41.5924407420398,144.9591726963129,-332.76218767430765,236.15066284872654,568.9128505230342,17.336043074351988,84.98185458580491,-167.77061193163308,305.6462098075426,473.4168217391757,-0.3655027867322872,65.6949816472107,-289.30474351429217,180.0890052866889,469.39374880098103,-47.77140077135835,45.88758667582585,-185.20450654709404,65.1439894320257,250.34849597911975,-18.859154050590053,55.844374778913526,-179.36931320420945,97.24730914143187,276.6166223456413,-42.16750495676338,38.012386315851934,-134.9510330317395,61.55983546070625,196.51086849244575,5.699181779185012,37.1152450973059,-89.99177495235044,100.2055596778936,190.19733463024403,-38.29840058408157,38.140062669690465,-164.49247609126013,51.59508288245079,216.0875589737109,2.1827431396371564,31.36287034778049,-98.8973432291359,81.553410064612,180.45075329374788,-10.164782405259805,28.401858056741595,-82.33331917557838,99.25549603605128,181.58881521162965,3.600755532424348,33.27962550479234,-82.45978184213334,127.91088406010944,210.37066590224276,--undefined--,2473.8579268814683,661.3793845107316,686.5038150598562,255.58835776950713,--undefined--,735.7576904855188,3590.06708858828,1762.838326974908,1795.2510103038364,435.7999529042961,2854.3093981027614,1344.254868019974,4352.221296003902,3043.4141290809503,2998.36755674886,474.6847705997318,3007.966427983928,2882.0568736953824,5300.003178486334,4105.3130482406905,4035.8974134612713,377.7624369222319,2417.9463047909517,3870.416299389249,5423.719389504308,4633.6112662374235,4649.063574696048,324.2350672509062,1553.3030901150591,0
-7.955036870839268e-06,-0.21081231528930916,0.25810618873841373,0.047754264285968524,0.4689185040277229,384.6335479461165,243.26135147323902,498.74461994535943,56.92254997197592,255.48326847212041,10.170896836604197,-226.0655481036082,34.83728971480063,7.410156126796028,260.90283781840884,36.8472649670422,73.19738102281012,61.39287755533676,58.73167543797525,13.06086578106468,36.35011605576792,2.6299928771026244,3.423314196056057,922.7497084838802,499.1772740322375,21.7639792701955,1468.8384635898478,1447.0744843196524,300.70501777893617,139.08477996467954,-96.4725428305266,488.0264323302328,584.4989751607594,-88.17410184105617,161.0105691132816,-288.29964742960243,223.1141593981911,511.41380682779356,23.84106114916598,118.49424614884161,-137.56917821233807,335.78085633435984,473.3500345466979,-32.95601459205165,59.50703398996777,-184.79587673471792,105.9706396421157,290.76651637683364,-29.856550667438874,40.81051674031281,-137.57164239803737,106.42052177186531,243.99216416990268,-57.95484003115443,80.01487686044183,-218.7707112664653,90.66161040595874,309.43232167242405,-48.9952104697413,41.9994214010637,-142.0461168698935,72.4749662489202,214.5210831188137,-21.055509783205125,27.527539778446073,-91.98823447198866,53.71689884617645,145.7051333181651,-54.801945330338995,28.520542681653225,-138.36817015463185,15.389498984484813,153.75766913911667,-25.626096567623506,31.840726953519482,-129.29674140230748,50.750642181438536,180.047383583746,-51.33475184813768,30.339639219345134,-130.4451318774545,29.929015009132183,160.37414688658666,-4.746326792922693,22.25293086418407,-70.28839864481392,62.93234789501301,133.22074653982693,175.68759790286407,2146.4540042183285,514.6622757438637,630.3984007797634,269.58602178955147,1970.7664063154643,774.8292361668952,3594.241283306449,1763.8989867123591,1853.0899770142985,397.42542666237983,2819.412047139554,2124.1541307449033,4101.392599470831,2911.824506733409,2917.358781508305,337.84010433666776,1977.2384687259273,2903.733934966006,5273.070257345793,3849.984140878523,3871.199610601288,452.2803157876565,2369.336322379787,4007.7818599160387,5402.405552206724,4812.108487483726,4831.062210536103,227.37080695542662,1394.623692290685,0
-1.0198593379609398e-05,-0.22556129409778836,0.25932746657163136,0.04250002218917516,0.4848887606694197,399.4557784988997,244.87121702130455,629.9593425837647,90.18184621750649,385.08812556246016,9.83781115389812,-226.7578041587119,39.71872749437729,6.561444622127137,266.4765316530892,36.7539487194134,75.13598557876564,64.18445931592312,61.2930330734851,9.300849586420561,38.38203685935224,4.1318209809101925,4.1318209809101925,1094.239296821895,242.0917164174379,338.5744109598711,1659.3664663697846,1320.7920554099135,282.88617609198144,106.45877058473947,-70.64544541003285,501.2633312924131,571.908776702446,-138.99776064992207,86.87779536771025,-318.6067057664053,76.00425442306329,394.6109601894686,45.565674657007335,87.97104039337086,-168.76419048934744,273.45287076728425,442.2170612566317,-61.54935500271193,55.81757073824113,-199.2051884303214,93.86356498308669,293.0687534134081,-13.02441446650334,41.236477599407436,-130.34147790576452,100.65661931879815,230.99809722456268,-69.34784348951958,48.99463801518298,-192.52376367028646,54.877081067455435,247.4008447377419,-49.832683461752,45.38952029559173,-164.57385925103057,63.181468997816204,227.75532824884678,5.215401264387626,34.74876336274359,-94.78268526097905,123.16023499301711,217.94292025399616,-49.11468014367214,39.34496154145107,-139.61975660215245,45.14573724449996,184.76549384665242,-8.276920630623305,44.091178244025215,-105.74512792392582,96.79961876746013,202.54474669138597,-9.731609066919216,43.54678067972855,-113.11826927465151,114.09283964110155,227.21110891575307,12.560733835605282,43.378497464445665,-81.63037003261994,114.27789290461465,195.90826293723458,169.67632558578202,1656.5899582336283,652.5155160950017,680.1873708798199,217.89486346375742,1486.9136326478463,784.5299827029158,2977.716726395835,1842.0732358176829,1849.584927859466,390.07557474716134,2193.186743692919,1168.735561980958,4047.5499129809023,2939.5071711795035,2863.549523841344,472.43633567864697,2878.8143509999445,2948.7608625087537,5103.239765897936,3777.5339220524847,3874.9644631783485,427.4324268294234,2154.4789033891825,4040.5089229966234,5358.890065013495,4687.663798217387,4689.216597042681,282.12135710147464,1318.3811420168713,0
-7.88310722624482e-06,-0.2833411480187455,0.2522744673368524,0.0394580421872071,0.5356156153555979,328.91994108509243,224.97936528137237,602.7923671596592,89.21462975788285,377.81300187828685,8.297475737547622,-226.52986486154697,38.63999527124259,4.561247154121815,265.16986013278955,37.28084774756727,74.3690429691775,63.69759144618351,60.33907111156767,9.843979993589656,37.08819522161023,6.044388477884464,6.044388477884464,1036.1273152815286,313.53898490619076,267.76875030698255,1510.5880947311584,1242.8193444241758,326.22026150323774,125.57885649181037,-26.493128580964576,511.87125656571584,538.3643851466804,-109.90280834933755,102.41068002635656,-304.78330381703654,118.1108104460833,422.89411426311983,22.316432841249892,83.15015090352875,-166.87445718302678,246.36597126884652,413.2404284518733,-51.94750527130202,59.59181141716055,-173.9478018979283,84.75449264380384,258.70229454173216,-20.05591492150795,39.45005384120225,-118.62927707818041,87.71365731385177,206.3429343920322,-45.51027383510166,57.88744813949562,-166.81402244997676,86.21688547035272,253.03090792032947,-44.18778593943325,37.74485482228575,-159.7582006038836,60.55303931061676,220.31123991450036,-18.868669587679822,35.162099871544925,-120.11940039146086,74.58424305468644,194.70364344614728,-67.02867504545108,33.91689052124306,-148.2064576275456,14.399313038208078,162.60577066575368,-15.952096225882062,38.38545308594008,-126.02360121817803,79.31724052129842,205.34084173947645,-25.178731963527223,27.823162895043545,-88.38362512953931,49.61333828811281,137.99696341765213,-13.060091175212587,31.006712631963726,-85.46003511046126,79.42968826815951,164.88972337862077,193.28283019652088,1606.225309207861,660.5371496899165,687.5535230393258,250.5822407288409,1412.9424790113403,910.0899907818269,2941.0341305981606,1859.6690848969904,1811.304979009881,335.7733075755994,2030.9441398163335,1731.7246193247765,4504.592282035834,2997.3878089741847,2934.0121016733174,433.71827602568845,2772.867662711057,2908.3862419351785,5136.0119235838,4011.1314923823065,3981.7379838140223,494.6836231760319,2227.6256816486216,4041.5296366027706,5318.6750607389,4776.561947416104,4753.911981095069,222.06999563492994,1277.1454241361298,0
-2.985058110095015e-06,-0.24778154820299397,0.31043702306712156,0.04555615980662744,0.5582185712701155,320.05748706538,238.7282209578993,391.3489976655028,47.84789887706334,152.62077670760348,6.6143087916165975,-225.57754110986068,23.23588352316086,5.874752935962085,248.81342463302153,28.779844773010478,74.40144138443758,63.438045450436334,59.4281476518976,13.163008179545505,45.621596611427094,3.445305770887166,3.445305770887166,992.0453028759064,481.83460244708647,-38.35534209471196,1539.314949465491,1577.670291560203,333.8663964059263,138.7455288188049,-63.81799959174156,525.6311018022999,589.4491013940415,-111.27104233309963,117.16047504630765,-302.3291468264516,135.16312220478162,437.49226903123326,-11.246649482001937,104.78737508328905,-182.87198341055205,227.08719640968582,409.95917982023786,-42.093641590970115,87.70494789419479,-251.28465509433693,97.44816314310843,348.7328182374454,-12.404047085281602,37.12822881652663,-121.06812451450806,90.608189352018,211.67631386652607,-35.595008670271945,63.65124653825892,-175.8936463459508,78.94161337590225,254.83525972185305,-36.13204384755164,55.05738436932658,-173.48456567446658,46.270530684332215,219.7550963587988,-19.092070109575864,32.153507439136675,-100.48093229259813,56.82887003032157,157.3098023229197,-69.38739116283841,33.44003149533164,-136.63575073536055,29.28654506398599,165.92229579934653,-18.11185825612371,29.706666020653504,-109.08604297480392,40.664652724141725,149.75069569894563,-17.561074541678327,33.465640877873085,-91.80913770221473,105.60094150654685,197.41007920876157,-15.951654914030282,30.810142985590605,-96.73360927030001,86.92346711287155,183.65707638317156,253.71088379655583,1966.0877185862719,762.9010472510749,768.1874263897369,305.4379208134504,1712.376834789716,1268.757097022816,2867.3040423883836,1761.3826528748843,1804.463702222089,294.1520486872181,1598.5469453655676,1694.25128850749,4479.0664177996,2853.1711501769482,2832.922799620687,408.59614659556337,2784.8151292921093,2845.2892025422007,5137.73126607651,3976.688876318938,3919.0458729469133,505.06812656677414,2292.4420635343095,4258.0030609229625,5421.820366609558,4698.556539103825,4717.9694645989075,215.0221044497398,1163.8173056865953,0
-2.4913274491437653e-06,-0.2607933651990459,0.29958244750845386,0.04361636640228419,0.5603758127074998,304.23437640670875,165.86639153631157,579.1878204512426,92.38945078068205,413.32142891493106,7.976022940930651,-226.72527804468967,37.72548121687885,6.231448477825312,264.4507592615685,25.628606951934728,75.23765321850988,63.19754904135034,60.00803097536835,11.841655227021112,49.60904626657515,3.9876383212042668,3.9876383212042668,999.743837524495,442.4422871082032,-145.62524522623937,1563.7035041241716,1709.3287493504108,337.81936751471505,125.87993240006982,-86.95751518617958,536.920950195968,623.8784653821475,-121.07099279575492,139.2912802327316,-364.92215996040926,175.99852142736327,540.9206813877726,15.957021549685994,92.26724973843254,-212.80638079260754,293.18781914328997,505.99419993589754,-28.184050538624383,75.87337247361712,-248.25614231735824,122.20582945013994,370.4619717674982,-23.424876689681646,38.408221349602734,-129.63221570306013,105.87374861699016,235.50596432005028,-38.9197689971775,70.23301836747055,-206.37710673502016,119.4243306162721,325.8014373512923,-57.41113968894324,43.63044806336456,-177.34862239017806,80.55981856327455,257.9084409534526,-10.286857410335728,32.34801009424107,-114.23217176113634,84.22674219514438,198.45891395628072,-62.37896396100559,43.594661943583034,-176.2332093384679,51.51497203095204,227.74818136941994,-10.550830211674269,39.8491308260485,-146.3359799529737,102.92432916574181,249.2603091187155,-13.901432589585289,29.207742734930832,-89.64209304637677,87.90355314457,177.54564619094677,-17.66970591901026,33.422009160625365,-104.99457349339082,99.90567164208676,204.90024513547758,31.29065018385208,1976.954352922705,685.9511205808351,700.1255079731421,277.14902549335835,1945.663702738853,475.9991660829098,3087.808148991528,1858.2083268104989,1892.0423891194885,329.554307260424,2611.8089829086184,1544.1729250537078,4396.9613786292175,2923.907098976588,2875.7182319548747,400.70501341682444,2852.7884535755097,2753.502625912687,5360.336411078576,3859.117866134862,3932.643168638145,468.35618347975975,2606.833785165889,4199.96902042969,5381.896657859115,4768.642590961607,4736.632756952768,257.41343399002966,1181.927637429425,0
-3.962610641915328e-06,-0.16530582058780766,0.1812984084248598,0.04260701012282325,0.34660422901266746,342.2921366724607,212.72343062995054,456.5965788794152,70.1271695299604,243.87314824946463,11.551903828230428,-226.05579827427118,32.787131900037465,3.813064137732789,258.84293017430866,28.800232968452356,73.23173230903902,63.39269980024379,60.89031498453622,9.883784993066598,44.43149934058666,3.551872132603226,3.551872132603226,1125.1344525703698,340.51334448935995,-6.145055741538088,1484.2510440643464,1490.3960998058844,278.34116603326487,41.82235169307366,176.26010981374736,373.5168882788561,197.2567784651087,-107.54542575669807,87.59882227213389,-252.58239928114514,167.98774839983662,420.5701476809818,53.869719948510216,61.73534047167062,-67.33684646311092,184.2275719192245,251.56441838233542,-90.23646692640708,73.22461360656219,-229.43961466718693,83.76805944267433,313.2076741098613,-11.068030731245411,40.56408686648407,-91.63506274781291,82.92009351319294,174.55515626100583,-100.62828956588902,45.84367060338534,-170.36559022805437,48.739786001027184,219.10537622908157,-68.32806165613887,38.95931945904983,-167.969547043025,19.451667804364575,187.42121484738956,1.115384233569144,37.442539489296394,-124.78532022048049,62.690811343804654,187.47613156428514,-64.58170198562154,23.67782543896596,-126.21473428023265,3.3596228136305326,129.57435709386317,-35.33520107266384,37.31156360470291,-131.64082666969946,36.66173918290936,168.30256585260884,-12.200120419782593,33.30103282445847,-88.06179277477843,47.54592425262478,135.6077170274032,-20.10208898116916,22.705715765421214,-75.70628032593018,29.82149371901061,105.5277740449408,293.2822972212423,1015.5279620395863,654.6953273040523,647.6668257092039,164.49837711990054,722.245664818344,859.8351463918102,2613.197653964329,1833.9304730056149,1874.8800011197172,340.1378885460468,1753.362507572519,1426.0379010544123,3841.7579243219843,3168.5488709689826,3147.103369475559,213.33206920078385,2415.7200232675723,3073.6632716691915,4992.784613717517,4148.968563663995,4063.227768361017,383.0948523789165,1919.121342048325,4213.482532012484,5225.734150838953,4680.594773369561,4706.579961593685,183.2237341438118,1012.251618826469,0
